Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Roll,Pitch,Yaw,Data Point,Time (s),Acc_x Norm,Vel_x,,,,# points,47196
3.850072419,0.363937194,8.983502312,0.011627539,0.013948519,0.029316525,4.22687818,11.34168555,-1.163922977,2.27126506,-23.18158591,-69.88934494,11500,1150,1.063572311,,,,,,
3.993731838,0.320839368,9.155893614,0.018019223,9.99E-05,0.046361016,4.384401591,11.39769388,-1.245601783,1.964126212,-23.55358637,-69.1245968,11501,1150.1,1.20723173,,,,,,
4.314571206,0.675199268,9.155893614,0.031867872,0.006491554,0.066601349,4.410655492,11.59372301,-1.592736706,4.120880902,-25.17156087,-69.72916831,11502,1150.2,1.528071098,,,,,,
3.926690776,1.240259648,8.84463154,0.04465124,-0.010552937,0.063405507,4.148116475,11.70573966,-1.347700289,7.811205205,-23.73324535,-72.58820133,11503,1150.3,1.140190668,,,,,,
4.118236667,0.641678737,9.476732982,0.003105293,0.012883238,0.077254156,4.384401591,11.06164393,-1.245601783,3.791505595,-23.44011468,-69.19097482,11504,1150.4,1.331736559,,,,,,
3.897958892,0.249009659,9.754474525,-9.05E-05,0.010752677,0.075123594,4.489417198,10.94962729,-1.572317004,1.433680844,-21.77557847,-67.05544822,11505,1150.5,1.111458784,,,,,,
3.845283772,0.876322454,8.983502312,0.011627539,-0.016944621,0.075123594,4.699448412,11.17366058,-1.286441185,5.455430235,-23.07479391,-68.59105706,11506,1150.6,1.058783664,,,,,,
4.089504784,1.053502403,9.02181149,0.043585959,-0.019075182,0.071927752,4.961987429,10.94962729,-1.408959393,6.514098551,-24.2387799,-67.42533836,11507,1150.7,1.303004676,,,,,,
4.281050675,0.339993957,9.677856168,0.051042924,0.002230431,0.074058314,5.040749134,11.0896481,-1.306860887,1.968533454,-23.84938509,-65.8716682,11508,1150.8,1.494550567,,,,,,
3.840495125,0.976884047,9.084063905,0.056369328,-0.011618218,0.078319436,5.145764741,11.20166474,-1.143503276,6.011777373,-22.79941253,-67.21479121,11509,1150.9,1.053995017,,,,,,
3.93626807,0.852379217,9.309130327,0.05956517,0.002230431,0.072993033,5.329542053,10.83761064,-1.286441185,5.123896166,-22.83489106,-65.23153136,11510,1151,1.149767962,,,,,,
4.084716136,1.187584527,9.989118242,0.024410907,0.003295712,0.078319436,5.198272545,10.69758983,-1.06182447,6.645329775,-22.09995548,-66.17008633,11511,1151.1,1.298216028,,,,,,
3.706413001,1.18279588,9.390537331,0.027606749,0.012883238,0.076188875,5.329542053,11.00563561,-1.286441185,7.041424939,-21.38543181,-65.98743526,11512,1151.2,0.919912892,,,,,,
3.644160586,0.450132845,9.131950378,0.023345626,-0.009487656,0.078319436,5.382049857,10.44555237,-1.735674615,2.766826639,-21.73085136,-62.58634415,11513,1151.3,0.857660478,,,,,,
4.304993912,0.531539849,10.20939602,0.015888662,-0.023336305,0.08364584,5.198272545,10.13750659,-1.470218497,2.918913416,-22.83593296,-63.16272415,11514,1151.4,1.518493803,,,,,,
3.83091783,0.785338155,9.797572351,0.026541468,-0.003095972,0.06873191,5.145764741,10.30553156,-1.633576108,4.495311299,-21.29368513,-63.91452013,11515,1151.5,1.044417722,,,,,,
3.945845365,0.45971014,9.74489723,0.021215065,-0.008422375,0.060209665,5.014495232,10.22151908,-1.899032226,2.647374982,-22.02156943,-63.2848945,11516,1151.6,1.159345257,,,,,,
3.835706477,-0.014365942,9.486310277,0.025476188,-0.01481406,0.049556858,4.804464018,9.941477459,-1.939871629,-0.085048471,-22.01549172,-62.44043312,11517,1151.7,1.049206369,,,,,,
3.77824271,0.555483085,9.9747523,0.038259556,0.004360993,0.048491577,4.384401591,9.829460812,-1.613156407,3.128320884,-20.71634832,-65.65363709,11518,1151.8,0.991742602,,,,,,
3.787820005,0.344782605,10.2477052,0.036128995,0.001165151,0.046361016,4.06935477,9.66143584,-1.858192823,1.892040332,-20.27509412,-65.88336118,11519,1151.9,1.001319896,,,,,,
3.471769284,0.421400961,9.462367041,0.027606749,0.006491554,0.043165174,3.754307949,9.773452488,-1.572317004,2.504071555,-20.12988218,-68.27150996,11520,1152,0.685269175,,,,,,
3.62021735,0.263375601,10.05137066,0.018019223,0.009687396,0.036773489,3.754307949,9.941477459,-1.408959393,1.474434774,-19.80130733,-68.53095991,11521,1152.1,0.833717241,,,,,,
3.466980636,0.536328496,9.347439506,0.015888662,-0.006291814,0.014402595,3.833069654,10.64158151,-1.429379095,3.224198925,-20.31921909,-70.06652282,11522,1152.2,0.680480528,,,,,,
3.524444404,-0.220277775,9.615603754,0.021215065,9.99E-05,0.003749788,4.06935477,10.55756902,-1.408959393,-1.288713512,-20.12473975,-67.36816763,11523,1152.3,0.737944296,,,,,,
3.308955276,0.071829709,8.241261982,0.022280346,0.003295712,0.014402595,4.358147689,11.0896481,-1.06182447,0.489542183,-21.87523846,-68.35306395,11524,1152.4,0.522455168,,,,,,
4.00809778,-0.143659419,9.725742641,0.022280346,-0.016944621,0.014402595,4.463163296,11.31368139,-1.143503276,-0.82917403,-22.39495788,-67.73588668,11525,1152.5,1.221597672,,,,,,
3.586696818,0.17717995,10.61164239,-0.015004479,0.012883238,0.015467876,4.436909394,11.56571885,-1.082244172,0.940670246,-18.67264545,-68.81425125,11526,1152.6,0.80019671,,,,,,
3.285012039,0.45971014,8.973925017,0.023345626,0.001165151,0.004815069,4.436909394,11.84576047,-0.918886561,2.879925497,-20.0815291,-70.19167659,11527,1152.7,0.498511931,,,,,,
3.596274113,-0.095772946,9.792783703,-0.021396163,-0.013748779,0.014402595,4.725702313,11.64973133,-0.980145665,-0.550229461,-20.16422478,-67.53732726,11528,1152.8,0.809774005,,,,,,
3.572330877,-0.019154589,10.31474626,0.011627539,-0.03079327,0.012272034,4.883225724,11.76174798,-1.06182447,-0.104587625,-19.10259691,-67.0945606,11529,1152.9,0.785830768,,,,,,
3.811763241,0.450132845,10.56854456,0.014823381,-0.049968322,0.014402595,4.804464018,11.62172717,-1.041404769,2.395702425,-19.81631777,-68.00404193,11530,1153,1.025263133,,,,,,
3.629794644,0.191545892,9.845458824,0.018019223,0.011817958,0.012272034,4.935733527,11.70573966,-0.980145665,1.094394411,-20.23425417,-67.34501568,11531,1153.1,0.843294536,,,,,,
3.471769284,-0.148448066,9.81672694,-0.027787847,0.051233343,0.018663718,5.093256938,11.31368139,-1.225182081,-0.851306631,-19.47451657,-65.00107885,11532,1153.2,0.685269175,,,,,,
3.194027741,-0.373514488,9.007445548,0.02973731,0.036319414,0.012272034,5.067003036,10.94962729,-1.20476238,-2.333220236,-19.50893778,-63.93700501,11533,1153.3,0.407527633,,,,,,
3.285012039,0.100561593,8.835054246,0.006301135,-0.01481406,0.012272034,5.014495232,10.55756902,-1.408959393,0.64021779,-20.39471318,-64.02893833,11534,1153.4,0.498511931,,,,,,
3.692047059,-0.033520531,9.878979355,0.031867872,-0.024401586,0.002684507,4.778210117,10.80960648,-1.633576108,-0.190844364,-20.4919943,-64.90297653,11535,1153.5,0.905546951,,,,,,
3.500501167,-0.047886473,9.352228153,0.008431697,9.99E-05,0.005880349,4.463163296,10.64158151,-1.388539692,-0.287981187,-20.52042493,-66.2221594,11536,1153.6,0.714001059,,,,,,
3.658526528,-0.028731884,9.3570168,-0.005416952,0.003295712,0.013337314,4.856971822,10.44555237,-1.163922977,-0.172559802,-21.3550507,-64.59746195,11537,1153.7,0.87202642,,,,,,
3.352053101,-0.320839368,9.505464866,0.022280346,0.003295712,0.008010911,5.145764741,10.47355653,-1.347700289,-1.899708126,-19.41470667,-62.54165601,11538,1153.8,0.565552993,,,,,,
3.423882811,0.363937194,10.5110808,0.021215065,-0.000965411,0.003749788,5.198272545,10.36153989,-1.143503276,1.951270042,-18.03241256,-63.47788477,11539,1153.9,0.637382703,,,,,,
3.126986679,0.10535024,9.036177432,0.006301135,-0.002030691,0.015467876,5.27703425,10.38954405,-1.368119991,0.656605094,-19.08707421,-62.59073463,11540,1154,0.340486571,,,,,,
2.8253019,0.023943236,9.495887572,-0.015004479,-0.01587934,0.016533156,5.644588874,10.05349411,-1.776514018,0.14234947,-16.56921814,-59.56284186,11541,1154.1,0.038801792,,,,,,
3.366419043,-0.114927535,9.25166656,-0.028853128,-0.026532147,0.017598437,5.408303758,10.30553156,-2.164488343,-0.698996257,-19.99359102,-60.2887298,11542,1154.2,0.579918935,,,,,,
3.639371939,0.277741543,9.285187091,-0.055485145,0.017144361,0.02292484,5.067003036,10.16551075,-2.307426253,1.680426055,-21.39422186,-61.94891865,11543,1154.3,0.85287183,,,,,,
3.26585745,-0.181968597,9.313918975,-0.011808636,0.020340203,0.011206753,4.725702313,9.969481621,-2.041970135,-1.099980862,-19.31943006,-62.36432777,11544,1154.4,0.479357342,,,,,,
